Buffer1,CounterIon1,CounterIon2,Fe2_source1,pH,Si_mM,Al_molpercent,Fh_gL,Fe2_mM,Fe2Fh_mMgL,OC_type,CFe_molmol,IDMethod,Fh_pct,Gt_pct,Lp_pct,Mt_pct,Time_hr
PIPES,chloride,,FeCl2,7.2,0,0,0.3,0.2,0.67,,0,XAS,6,8,86,0,132
PIPES,chloride,,FeCl2,7.2,0,0,0.3,2,6.7,,0,XAS,21,13,27,39,132
PIPES,sulfate,,FeSO4,7.2,0,0,0.3,0.2,0.67,,0,XAS,7,46,47,0,132
PIPES,sulfate,,FeSO4,7.2,0,0,0.3,2,6.7,,0,XAS,18,55,0,27,132
bicarbonate,sulfate,carbonate,FeSO4,7.2,0,0,0.3,0.2,0.67,,0,XAS,44,56,0,0,132
bicarbonate,sulfate,carbonate,FeSO4,7.2,0,0,0.3,2,6.7,,0,XAS,30,70,0,0.0,132
PIPES,chloride,,FeCl2,8,0,0,0.3,0.2,0.67,,0,XAS,11,8,57,24,120
PIPES,chloride,,FeCl2,5,0,0,0.3,2,6.7,,0,XAS,66,12,21,0,120
PIPES,chloride,,FeCl2,6,0,0,0.3,2,6.7,,0,XAS,31,0,69,0,120
PIPES,chloride,,FeCl2,7,0,0,0.3,2,6.7,,0,XAS,33,0,36,31,120
PIPES,chloride,,FeCl2,8,0,0,0.3,2,6.7,,0,XAS,8,0,0,92,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.04,0.13,,0,XAS,55,19,26,0,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.1,0.33,,0,XAS,39,8,53,0,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.18,0.6,,0,XAS,36,25,39,0,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.26,0.87,,0,XAS,28,32,40,0,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.39,1.3,,0,XAS,20,38,31,11,120
PIPES,chloride,,FeCl2,7,0,0,0.3,0.75,2.5,,0,XAS,14,32,8,46,120
PIPES,chloride,,FeCl2,7,0,0,0.3,1.71,5.7,,0,XAS,9,25,0,66,120
PIPES,chloride,,FeCl2,7,0,0,0.3,3.8,12.67,,0,XAS,11,26,0,62,120
MES,sulfate,,FeSO4,6.17,0,0,0.5,1,2,,0,EXAFS,15,55,30,0,70
MES,sulfate,,FeSO4,6.42,0,0,0.5,1,2,,0,EXAFS,5,76,19,0,70
MES,sulfate,,FeSO4,6.5,0,0,0.5,1,2,,0,EXAFS,15,85,0,0,70
MES,sulfate,,FeSO4,6.92,0,0,0.5,1,2,,0,EXAFS,7,87,6,0,25
MES,sulfate,,FeSO4,7.13,0,0,0.5,1,2,,0,EXAFS,4,92,4,0,20
MES,sulfate,,FeSO4,7.3,0,0,0.5,1,2,,0,EXAFS,10,89,1,0,20
MES,sulfate,,FeSO4,6.36,0,0,0.5,2,4,,0,EXAFS,17,83,0,0,24
MES,sulfate,,FeSO4,6.5,0,0,0.5,3,6,,0,EXAFS,1,99,0,0,25
MES,sulfate,,FeSO4,6.4,0,0,1,1,1,,0,EXAFS,16,82,2,0,48
PIPES,sulfate,,FeSO4,7.0,0,0,0.4,0.2,0.5,,0,FTIR,0,100,0,0,120
PIPES,sulfate,,FeSO4,7.0,0,0,0.4,1,2.5,,0,FTIR,0,100,0,0,120
PIPES,sulfate,,FeSO4,7.0,0,0,0.4,5,12.5,,0,FTIR,0,100,0,0,120
PIPES,sulfate,chloride,FeSO4,7.0,0,0,0.101,0.2,1.9802,,0,EXAFS,0,100,0,0,2160
